protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g1837.t1,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0098656,monoatomic anion transmembrane transport
g1837.t1,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0008308,voltage-gated monoatomic anion channel activity
g1837.t1,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0055085,transmembrane transport
g1837.t1,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0005741,mitochondrial outer membrane
g1357.t1,g1357,0.661624218935033,313.492888808955,0.0143147939583204,GO:0006480,N-terminal protein amino acid methylation
g1357.t1,g1357,0.661624218935033,313.492888808955,0.0143147939583204,GO:0008168,methyltransferase activity
g11752.t1,g11752,0.66084414097169,2005.13386162731,0.0019446889275127,nan,
g13090.t1,g13090,0.660762461817313,6179.61019490362,2.52545133042766e-06,nan,
g6676.t1,g6676,0.659835665634433,929.071051396758,1.05431788826489e-07,nan,
g893.t1,g893,0.659752078235338,1331.73643585801,5.08285477660826e-07,GO:0005743,mitochondrial inner membrane
g893.t1,g893,0.659752078235338,1331.73643585801,5.08285477660826e-07,GO:0006744,ubiquinone biosynthetic process
g5687.t1,g5687,0.659687822647721,17796.5571081304,9.13714802425781e-07,GO:0006412,translation
g5687.t1,g5687,0.659687822647721,17796.5571081304,9.13714802425781e-07,GO:0005840,ribosome
g5687.t1,g5687,0.659687822647721,17796.5571081304,9.13714802425781e-07,GO:0003735,structural constituent of ribosome
